9,3,ND,S1,S2,S3,S4,S5,S6,S7,S8
7.94,8.60,17.73,0
6.97,8.34,15.68,1
6.96,8.31,16.33,2
7.69,8.47,17.71,3
7.55,8.45,17.66,4
7.50,8.49,17.57,5
7.72,8.42,17.72,6
7.07,8.18,16.45,7
7.10,8.23,15.79,8
7.92,8.59,17.74,0
6.98,8.36,15.67,1
6.96,8.31,16.35,2
7.68,8.45,17.70,3
7.56,8.45,17.67,4
7.51,8.49,17.56,5
7.71,8.44,17.70,6
7.07,8.17,16.46,7
7.10,8.24,15.80,8
7.92,8.58,17.73,0
7.00,8.35,15.68,1
6.96,8.30,16.36,2
7.70,8.47,17.71,3
7.55,8.42,17.67,4
7.56,8.48,17.59,5
7.70,8.43,17.70,6
7.04,8.17,16.45,7
7.11,8.23,15.83,8
7.92,8.60,17.73,0
7.00,8.35,15.67,1
6.97,8.30,16.37,2
7.68,8.46,17.71,3
7.54,8.44,17.66,4
7.53,8.50,17.57,5
7.73,8.45,17.69,6
7.06,8.19,16.44,7
7.10,8.25,15.83,8
7.92,8.57,17.72,0
6.99,8.36,15.67,1
6.97,8.30,16.34,2
7.70,8.45,17.73,3
7.55,8.43,17.67,4
7.53,8.48,17.58,5
7.70,8.42,17.70,6
7.06,8.17,16.45,7
7.09,8.24,15.80,8
7.94,8.58,17.74,0
6.98,8.34,15.66,1
6.97,8.32,16.35,2
7.70,8.45,17.70,3
7.54,8.45,17.66,4
7.53,8.46,17.58,5
7.70,8.44,17.69,6
7.05,8.18,16.46,7
7.11,8.25,15.82,8
